 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses (0.0.0.0)
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://127.0.0.1:8080
 * Running on http://192.168.1.9:8080 (Press CTRL+C to quit)
192.168.1.11 - - [21/Sep/2022 23:54:54] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:54:54] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:54:54] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:54:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:54:54] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:54:54] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:54:54] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:54:54] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:54:54] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:54:54] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:54:54] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:54:55] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:54:55] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:54:55] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:54:55] "GET /api/poll_metrics HTTP/1.1" 200 -
127.0.0.1 - - [21/Sep/2022 23:54:55] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:54:57] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:54:59] "GET / HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:54:59] "GET /static/index.js HTTP/1.1" 304 -
192.168.1.11 - - [21/Sep/2022 23:55:00] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:03] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:03] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:06] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:06] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:09] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:09] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:12] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:12] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:15] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:15] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:18] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:18] "GET /api/poll_metrics HTTP/1.1" 200 -
192.168.1.11 - - [21/Sep/2022 23:55:21] "GET /api/poll_metrics HTTP/1.1" 200 -
